date,water_level_varanasi,discharge_cumec,rain_varanasi_mm,rain_upstream_avg_mm,temperature_c,humidity_pct,basin_area_pct,flood_label,mean_elevation_m,mean_slope,basin_relief_m,flow_accumulation,twi,network_density
01-01-2018,67.71,12600.26,94.05,95.64,25.08,81.5,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
02-01-2018,68.29,12790.3,101.18,96.61,34.54,77.06,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
03-01-2018,66.73,8020.21,0.12,0.45,24.88,79.59,100,0,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
04-01-2018,68.14,15072.28,106.72,135.51,35.94,90.41,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
05-01-2018,67.64,9443.9,30.94,32.82,26.64,84.21,100,0,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
06-01-2018,69.04,14273.12,103.17,131.96,33.45,80.65,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
07-01-2018,67.91,10823.5,33.33,46.64,29.54,85.2,100,0,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
08-01-2018,66.91,9890.42,43.54,40.74,32.78,81.28,100,0,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
09-01-2018,66.68,10359.78,15.22,40.12,27.76,73.65,100,0,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
10-01-2018,67.05,9094.57,16.76,18.67,27.94,65.75,100,0,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
11-01-2018,67.32,13560.17,95.09,108.7,32.35,65.09,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
12-01-2018,68.61,12284.89,67.0,87.21,30.13,87.76,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
13-01-2018,68.02,11801.62,89.66,81.48,31.17,60.62,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
14-01-2018,67.6,12015.06,80.06,70.7,31.27,64.93,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
15-01-2018,68.23,12826.02,100.96,97.26,32.83,73.12,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
16-01-2018,68.14,12554.31,91.4,96.27,34.23,93.74,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
17-01-2018,66.83,11616.0,47.12,76.17,28.76,92.95,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
18-01-2018,67.77,11649.32,71.92,68.18,31.19,83.97,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
19-01-2018,66.6,10602.06,36.58,51.67,29.68,78.79,100,0,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
20-01-2018,66.84,10072.88,11.59,36.37,25.36,78.49,100,0,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
21-01-2018,68.98,12601.21,103.96,100.67,29.08,92.67,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
22-01-2018,66.69,11567.66,69.9,69.17,31.73,77.41,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
23-01-2018,67.98,11912.92,66.42,81.2,32.3,90.47,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
24-01-2018,67.81,13307.84,81.31,99.75,31.32,75.94,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
25-01-2018,67.71,12543.87,99.56,92.11,28.32,88.0,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
26-01-2018,66.23,9994.0,37.41,47.67,25.39,87.56,100,0,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
27-01-2018,67.97,10518.06,22.84,50.07,29.17,62.73,100,0,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
28-01-2018,66.78,10960.03,50.99,50.26,31.94,67.03,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
29-01-2018,67.57,13569.9,112.91,111.36,24.48,77.1,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
30-01-2018,66.1,8433.33,6.62,17.35,31.85,87.32,100,0,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
31-01-2018,68.55,12105.86,77.83,83.73,31.26,70.55,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
01-02-2018,67.17,12512.06,94.96,93.47,26.25,64.46,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
02-02-2018,67.56,14093.2,97.98,119.4,28.64,60.74,100,1,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
03-02-2018,67.68,9425.64,23.46,37.93,34.22,88.85,100,0,38.8171313424085,191.5687391718824,89.96976470947266,2800000.0,9.7,0.0011352992938905
